               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.024431,           0.0065561,           0.0035968,             0.98202,              0.9902,             0.99335,             0.77124,            0.019709,           0.0041571,           0.0025087,           0.0076042,           0.0076042,           0.0076042
                 123,            0.025717,           0.0072509,           0.0044218,             0.98233,              0.9902,             0.99295,             0.74824,             0.02105,           0.0042834,           0.0026339,           0.0075844,           0.0075844,           0.0075844
                 124,            0.025913,           0.0074602,           0.0043198,             0.98195,              0.9902,             0.99295,             0.73886,            0.020289,           0.0041927,           0.0026446,           0.0075646,           0.0075646,           0.0075646
                 125,            0.026639,           0.0072032,           0.0041102,             0.98012,              0.9902,             0.99293,             0.75528,            0.020798,           0.0041908,           0.0025772,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028244,            0.006696,           0.0038987,             0.97922,              0.9902,             0.99414,             0.79372,            0.019358,           0.0041913,            0.002445,            0.007525,            0.007525,            0.007525
                 127,            0.026061,           0.0074017,           0.0048576,             0.94294,             0.98301,             0.99412,             0.80085,            0.019162,            0.004102,            0.002386,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025353,           0.0064845,           0.0049233,             0.98182,             0.98654,             0.99412,             0.81637,            0.017706,            0.004116,           0.0024153,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025645,           0.0078171,           0.0042791,             0.98027,             0.98737,             0.99414,             0.81803,             0.01871,           0.0040844,           0.0023272,           0.0074656,           0.0074656,           0.0074656
                 130,            0.025804,           0.0069957,           0.0034705,             0.97609,              0.9902,             0.99374,             0.78936,            0.018516,           0.0041216,            0.002264,           0.0074458,           0.0074458,           0.0074458
                 131,            0.026326,           0.0063728,           0.0053517,             0.98203,              0.9902,             0.99373,              0.8067,            0.018616,           0.0041422,           0.0022293,            0.007426,            0.007426,            0.007426
                 132,            0.026482,           0.0066738,           0.0039311,             0.98287,             0.98193,             0.99214,             0.76498,            0.018334,           0.0040848,           0.0022088,           0.0074062,           0.0074062,           0.0074062
                 133,            0.025574,           0.0068981,            0.004019,             0.98169,             0.98518,             0.99055,             0.79743,            0.019367,           0.0041152,           0.0022004,           0.0073864,           0.0073864,           0.0073864
                 134,            0.026291,           0.0063138,           0.0033122,              0.9735,              0.9902,             0.99136,              0.7557,             0.01973,           0.0042199,           0.0022147,           0.0073666,           0.0073666,           0.0073666
                 135,            0.026744,           0.0074818,           0.0046858,             0.97379,             0.99307,             0.99295,              0.8172,            0.017682,           0.0040996,           0.0021305,           0.0073468,           0.0073468,           0.0073468
                 136,            0.025753,           0.0069518,           0.0041365,             0.97549,                   1,             0.99414,             0.84045,            0.016857,           0.0040464,           0.0021423,            0.007327,            0.007327,            0.007327
                 137,            0.024421,           0.0075697,           0.0045809,             0.95556,                   1,             0.99081,             0.79077,            0.020135,            0.004075,           0.0021798,           0.0073072,           0.0073072,           0.0073072
                 138,            0.026406,           0.0066965,           0.0040885,             0.97316,                   1,             0.99414,             0.82193,            0.017699,           0.0040283,            0.002267,           0.0072874,           0.0072874,           0.0072874
                 139,            0.024927,           0.0068391,           0.0051553,             0.97335,             0.99752,             0.99414,             0.80911,            0.017631,            0.004053,           0.0023018,           0.0072676,           0.0072676,           0.0072676
                 140,            0.025324,           0.0068799,           0.0039596,             0.97115,              0.9902,             0.99414,             0.81031,            0.019246,           0.0040943,           0.0023304,           0.0072478,           0.0072478,           0.0072478
                 141,            0.024443,           0.0067963,           0.0053435,             0.96797,                   1,               0.995,             0.80512,            0.017738,           0.0040697,           0.0023597,            0.007228,            0.007228,            0.007228
